Text,URL,Likes,Comments,Shares,Time
"#24672: K52 chào các hậu bối UTC2 nhé! 
Cũng gần 10 năm ra trường rồi, thiệt sự lúc đi học chỉ mong ra trường thật nhanh. Nhưng khi trải đường đời thì mới thấy thời sinh viên thật tuyệt vời. Vô tư, hồn nhiên và vui vẻ biết bao 
Nhớ lắm những khi tụ tập bạn bè ăn chè bưởi, bánh tráng trộn, làm đĩa ốc.... Cùng đi học giảng đường với bạn bè và cả crush ( crush giờ là chồng tui) 
Hãy trân trọng thời sinh viên nhé các em!
Ra trường rồi sẽ nhớ lắm đấy",https://www.facebook.com/100064566801343/posts/903304561831762,196,143,0,2024-09-03T00:01:13.000Z
"""#24756: có một vài người suy nghĩ mình tham gia mấy cái CLB hay đoàn thanh niên là mình hơn tất cả mọi người nhưng khi bước ra khỏi cổng trường thì mình chỉ là một đứa tỉnh lẻ, gia đình nông dân nói chung là p**r
gửi tới anh chị trong CLB c** nào đó""",https://www.facebook.com/100064566801343/posts/940050078157210,147,140,0,2024-10-22T13:25:01.000Z
"#24185: Liên quan đền vấn đề đề mở. Hình thức thi là do trường quyết. Ok tên hình thức là đề mở là sai thì bạn tự thích đổi tên thành đề mở phiên bản UTC2 ra sao thì tùy. Việc của bạn duy nhất là đi thi. Thi thì ng*, không chịu học bài, bày đặt ngụy biện. Ngụy biện cái đ** gì việc dùng vở ghi? Vở ghi là ghi kiến thức giáo viên dạy. Ủa chứ kiến thức giáo viên dạy không đem bỏ vào đầu ấy, hay đầy toàn c** mà bỏ vào vở ghi. Đề có đóng thì cũng làm thôi. Mấy môn mà có thể làm đề mở và là đề mở real như đúng bản chất của nó như bạn yêu cầu thì có mở đến thiên thu mấy bộ não toàn c** chỉ ngụy biện là giỏi cũng không làm được bài.",https://www.facebook.com/100064566801343/posts/645180870977467,119,139,0,2023-06-23T13:59:16.000Z
"#23959: Em hỏi thật là có một số anh ở ký túc xá sao chạy xe cái đoạn đường 448 có vài trăm mét mà cứ nẹt nẹt pô rồi chi vậy ta ? Xe thì xe gẻ , thà tạm đc như R15 hay PKL cũng kh nói đâu. Đằng này chạy xe gẻ, chạy thì như thằng trẻ trâu. Tưởng ngầu chứ đi qua ai cũng chửi trong đầu á.",https://www.facebook.com/100064566801343/posts/581613864000835,212,129,0,2023-03-12T13:57:30.000Z
"#24042: Trước giờ mình chưa từng biết cfs, nhưng hôm nay mình viết cfs này tha thiết cổ vũ các bạn nam đang có crush hãy mạnh dạng bày tỏ tình cảm của mình, biết đâu nửa kia cũng thích bạn thì sao, tại nta con gái nta ngại thổ lộ đó. Cuối cùng tui muốn nói là tớ thích cậu mất rồi >.<",https://www.facebook.com/100064566801343/posts/591991342963087,198,116,0,2023-03-28T14:59:58.000Z
"#24028: Mấy ac khoá trc cho e xin những cách để qua môn điền kinh với ạ. Chứ e là nữ thể lực yếu chạy 2,5 vòng xong muốn rối loạn tiền đình (tụt huyết áp, hoa mắt chóng mặt ù tại, pla pla...) Còn mấy bạn nam chạy 4 vòng xong ai cũng than hết, có mấy bạn nhau mày vì bị đau. Sẵn đây mong thầy/cô thương tình giảm số vòng xuống một chút được k ạ (dù chỉ là nữa vòng thôi). Huhu tuần sau thi rồi mà giờ chạy k nổi, chắc phải đóng tiền học lại lần 2 quá . Em cảm ơn ad đã duyệt bài ạ.",https://www.facebook.com/100064566801343/posts/588747533287468,184,116,2,2023-03-24T04:10:20.000Z
"#24062: Hazz thiết nghĩ trường mình đã tổ chức giải Duyên dáng giao thông rồi. Sao hk tổ chức luôn cái giải nam vương giao thông UTC2 luôn đi nhỉ. Trường thì nhiều trai mà toàn tổ chức giải cho nữ. Hồi trước thấy trường tổ chức giải cho nữ mà hk tổ chức cho nam thì thấy cũng được. Tại hồi đó mình chưa sáng mắt ra thì phải. Lúc đi học thì thấy trai trường mình toàn bần bần dơ dơ kiểu gì âý .Nhưng cho đến khi mình sáng mắt ra, trên sân bóng hình tượng của con trai UTC2 làm mình thật sự sáng tới lóe con mắt luôn các bà ạ. Ôi trên sân bóng các anh luôn chuẩn gu mẫu hình tượng của chàng trai mà tụi em luôn mong muốn được húp trọn. Mlem mlem qué rùi đó. Mé đi xem đá bóng toàn ngắm mấy anh vén màng áo lau mồ hôi kkk. Em chỉ muốn nói một câu thôi: Khi nhìn các anh trên sân bóng em chỉ muốn cúi mặt xuống đất chổng mông lên trời thôi. Sương sương cũng có mơ ước là mình được chọn một anh nào đó trên sân bóng nhỉ kkk. Nhưng tiếc mơ chỉ mãi là giấc mơ kk.",https://www.facebook.com/100064566801343/posts/598001472362074,219,115,0,2023-04-07T11:08:20.000Z
"#24007: Thay vì mướn một dàn giữ xe hùng hậu thì trường hãy đầu tư một hệ thống quyét biển số xe vs khuôn mặt là dc mà . cho mọi thứ tự động tốt hơn ko . Mỗi người một tài khoản + xe đk trc , rồi trừ tiền hết thì nạp vô . Đứa nào sai thì cho còi hú lên hay xịt nước gì đó cho nó sợ . Ko dc nữa thì bắn bỏ . Chứ mướn một đống người mà ngày nào đợi cũng lâu , rồi xem tivi , buồn buồn thì chửi người khác như ai đó . Mà trường mik có ngành IT chẵng lẽ mấy này ko lm dc , sẵn thì sữa luôn cái app trường đi , đào it mà làm cái app ko xong",https://www.facebook.com/100064566801343/posts/586590043503217,232,100,0,2023-03-20T12:12:07.000Z
"#23971: Chào ad cũng như tất cả mọi người, với cương vị là 1 sv của trg, chưa bao giờ thấy thất vọng về nam sinh trường mình như thế. Chuyện là hôm nay, lúc đi học về, mình có nhìn thấy 1 bạn nữ ăn mặc rất cool ngầu, đi 1 chiếc vision trắng trước cổng trường mình, tay còn ôm một bọc đồ màu đỏ. Chuyện sẽ chẳng có gì đáng nói khi mình đi qua và thấy 3 nam sinh của trường mình nói xấu và trêu chọc bạn nữ ấy bằng những lời khiếm nhã như: """"E, con này ngon cực"""", """"phải thằng nào húp được chắc phải biết..."""", rồi đậu xe sát sát lại bạn nữ đó. Đỉnh điểm, mình còn thấy 1 bạn nam trắng trợn đậu sát lại trêu ghẹo gì làm bạn nữ giật mình hoảng sợ. Bạn nữ cầm điện thoại bối rối gọi cho bạn hay sao đó rồi hoảng quá phóng xe đi mất. Mình thật sự chưa bao giờ thấy trai trường mình kì cục như vậy luôn. Là một nữ sinh trong trường, mình thấy phản cảm cực kì, hi vọng bạn nam nào hành xử như vậy tém tém lại dùm cái. Thời đại này mà như vậy thì xin phép CHÊ!",https://www.facebook.com/100064566801343/posts/583367803825441,230,99,0,2023-03-15T08:46:17.000Z
#24636: Dạ em là tsv k65 em muốn hỏi anh chị là ở ktx có vui ko ạ? Em nghĩ về những buổi chiều xong đi dạo ở dưới sân ktx chắc chill lắm :3 mà em sợ sự thật nó ko như z :)))) Nên là em mong anh chị cho em lời khuyên thật lòng rằng có nên ở ktx và ở ktx nó có như em tưởng tượng ko ạ,https://www.facebook.com/100064566801343/posts/882384537257098,70,98,0,2024-08-01T01:14:08.000Z
